base_col,margin,cap_slack,sample_count,coverage,mean_gap,median_gap,gap_p05,gap_p95,gap_p95_p05_range,p95_violation,p99_violation,max_violation
pred_q70,0.03,0.0,5184.0,0.6151620370370371,0.07908299249255987,0.05619709548087087,-0.17994123380019775,0.38598307636566137,0.5659243101658591,0.18994123380019756,0.26884625047239935,0.4488048291811446
pred_q70,0.0,0.08,5184.0,0.5949074074074074,0.07922737291695046,0.04701526611808593,-0.14024836989017198,0.3781130606558519,0.5183614305460238,0.15024836989017198,0.22303572527555124,0.3688048291811446
pred_q70,0.01,0.05,5184.0,0.5952932098765432,0.07930544932164497,0.04957751903643598,-0.14679107863809993,0.3782669570152534,0.5250580356533534,0.15679107863809963,0.23199989769659043,0.3988048291811446
pred_q90,-0.08,0.1,5184.0,0.5927854938271605,0.07930671556971522,0.051934872391153714,-0.1399872945848762,0.3788058546738809,0.5187931492587571,0.1499872945848761,0.21445608173468608,0.37774273602854286
pred_q80,-0.02,0.05,5184.0,0.59375,0.07934807575812958,0.04958159580560617,-0.14474603986923587,0.3798257789658978,0.5245718188351337,0.15474603986923582,0.23199989769659043,0.3988048291811446
pred_q70,0.02,0.03,5184.0,0.6097608024691358,0.0813595670626572,0.05371779844263741,-0.15791565038134484,0.3808441446704891,0.5387597950518339,0.16791565038134484,0.24464924832509316,0.4188048291811446
pred_q90,-0.04,0.0,5184.0,0.6143904320987654,0.08213917521415759,0.05887540564286303,-0.1776690612901496,0.39690940844525185,0.5745784697354015,0.18766906129014946,0.2687198385453046,0.4488048291811446
pred_q70,0.03,0.01,5184.0,0.6217206790123457,0.08237075234763012,0.058585705727887905,-0.17128349417171618,0.38747983780423534,0.5587633319759515,0.18128349417171613,0.2597236005346354,0.4388048291811446
pred_q80,0.0,0.01,5184.0,0.6201774691358025,0.08239296769982495,0.05671124900283436,-0.17128349417171618,0.39006226859979687,0.561345762771513,0.18128349417171613,0.2631021558432567,0.4388048291811446
pred_q90,-0.06,0.05,5184.0,0.6012731481481481,0.08346057403376778,0.057313282898332846,-0.14467443491454587,0.3847088624836883,0.5293832973982342,0.1546744349145456,0.2299580789745423,0.3988048291811446
pred_q70,0.0,0.1,5184.0,0.6062885802469136,0.08363000719552693,0.05094792486775085,-0.13143173785408968,0.38312777037803764,0.5145595082321273,0.14143173785408955,0.21443916793265022,0.3659929247049223
pred_q80,0.01,0.0,5184.0,0.6319444444444444,0.08547418712833735,0.061699194944686786,-0.17835102833451733,0.39859592044254455,0.5769469487770619,0.18835102833451714,0.2687198385453046,0.4488048291811446
pred_q70,0.03,0.02,5184.0,0.6278935185185185,0.08550112589804973,0.06011414211924715,-0.1621445500239492,0.3882488585058373,0.5503934085297865,0.17214455002394904,0.25325948149683697,0.4288048291811446
pred_q80,0.0,0.02,5184.0,0.6259645061728395,0.08555161912948854,0.058503319650998004,-0.16186265099164462,0.39075434815886684,0.5526169991505114,0.17186265099164463,0.25325948149683697,0.4288048291811446
pred_q70,0.04,0.0,5184.0,0.6346450617283951,0.08559176320231418,0.06294293710775109,-0.17877326483998737,0.3955212698912068,0.5742945347311942,0.18877326483998724,0.2682941706211375,0.4488048291811446
pred_q90,-0.04,0.01,5184.0,0.6213348765432098,0.08562369771303745,0.061541607403791665,-0.16877326483998736,0.3976079978049089,0.5663812626448963,0.17877326483998723,0.2587198385453046,0.4388048291811446
pred_q70,0.02,0.05,5184.0,0.6205632716049383,0.08672038286233763,0.05818561938767769,-0.14248687936860993,0.38306885503734256,0.5255557344059525,0.15248687936860986,0.2299580789745423,0.3988048291811446
