feature,importance_q50,importance_q60,importance_q70,importance_q80,importance_q90,importance_mean
prev_bar_vwap_proxy,0.06062155226575076,0.052386699353554535,0.05248850088876154,0.03384993812549555,0.25910669905993755,0.09169067793869998
max_down_ret_5_delta_1,0.01523903851496665,0.06057789856581983,0.06943426687299872,0.07169687800869724,0.2386283175227159,0.09111527989703967
legal_prev_relative_trade_count_20,0.13759238332482632,0.07817608705511417,0.04891639500233953,0.11678060884403192,0.06604614692506434,0.08950232423027525
range_pos_10_delta_1,0.0697789423705861,0.16717754489283176,0.047356111828927114,0.12725322936836203,0.034355030793250654,0.08918417185079153
volume_z_term_ratio__volume_z_10__volume_z_20,0.18542684503617804,0.19321472646375057,0.0,0.034941112996977414,0.03044419877274869,0.08880537665393094
donchian_width_20,0.14535395820004854,0.11807039251685134,0.07725637965450796,0.07801139037178245,0.022686622602494523,0.08827574866913696
hour_cos,0.2156567559758851,0.11339537877252674,0.03834650967735545,0.040745777225421685,0.027868503092244472,0.08720258494868668
prev_bar_log_trade_count_lag3,0.1506301739468141,0.13649964900825043,0.048254148890189544,0.011138087660665869,0.08858828723260975,0.08702206934770593
volume_z_20_rolling_z_6,0.23681153368439084,0.06537396153289797,0.003935987580763359,0.06970051502847052,0.058958569425969894,0.08695611345049852
relative_volume_20_lag6,0.09091655801331763,0.052479929452438,0.055846295625156576,0.003457369697773616,0.22940182248655075,0.08642039505504731
ret_volume_z_product__ret_1__volume_z_10,0.051833613589669515,0.05653806481793544,0.0539528539824352,0.02374960232788932,0.24252980892561468,0.08572078872870884
range_pos_5_rolling_z_24,0.11797794181724067,0.08850648194099513,0.15293006504506848,0.046650982973359234,0.014454206431452031,0.0841039356416231
clv_1_rolling_z_24,0.20490549789239673,0.1168212921284129,0.05472569140856891,0.012203022073688872,0.029624448761856628,0.0836559904529848
rv_30_mean_gap_12,0.19109445168535813,0.1504645263024794,0.0050368567616809355,0.02498928081178521,0.03387537458510539,0.0810920980292818
rv_5_lag3,0.04985777921970778,0.044786983933079304,0.14274697598145178,0.10035125407015257,0.06001855810631911,0.07955231026214211
context_ret_product__wick_pressure_1__ret_15,0.15288917195620289,0.06049360317076776,0.047017888886452835,0.05493309757608037,0.07936112133310669,0.07893897658452212
efficiency_3_delta_6,0.24345661243870934,0.07905441158542413,0.01918710868845374,0.01112548771236733,0.04182623138003422,0.07892997036099775
compression_to_expansion_flag,0.0,0.0,0.0,0.08152512633422938,0.31149337404850647,0.07860370007654717
efficiency_term_spread__efficiency_3__efficiency_10,0.09381978611488791,0.10573527062796557,0.13385934003343256,0.01230322679673506,0.03545132059324054,0.07623378883325233
close_z_3_rolling_z_6,0.07044447498262374,0.008225178066712973,0.0,0.2677702828217429,0.033361534737252826,0.0759602941216665
rv_10_rolling_z_12,0.1072901837085239,0.05896941989778895,0.038684196576119025,0.0,0.1586987768368015,0.07272851540384669
close_z_5_mean_gap_6,0.09344951150566892,0.18129934971939574,0.010895941942469206,0.01701043750145242,0.06097226934711409,0.07272550200322006
realized_skew_20,0.09198906011674167,0.118925665027044,0.012571944203183704,0.0058814556267748975,0.12993128881966734,0.07185988275868231
low_volume_flag_share_20_rolling_z_12,0.09925743636299461,0.0848746332712727,0.05878661342857758,0.06008972031506908,0.05621461914634316,0.07184460450485143
compression_score_rolling_z_12,0.07238925174757857,0.021294437028145523,0.09744539847149304,0.06038391753735668,0.09639183696654562,0.0695809683502239
legal_prev_taker_buy_base_volume_sum_20,0.023895877027725956,0.04377632368477135,0.08205152277967866,0.13590947549740637,0.05887099505342377,0.0689008388086012
clv_1_mean_gap_12,0.06413132394559352,0.11672125660948493,0.06104136886558745,0.08982709552630178,0.012028723143087856,0.0687499536180111
range_pos_3_mean_gap_24,0.08403023080370475,0.12843718843874496,0.02896490052239315,0.02911705094616777,0.07067460182255984,0.0682447945067141
ret_vol_product__ret_15__rv_10,0.04062803013608557,0.08820246810556985,0.1054275972777043,0.07668388570447612,0.029349816833343475,0.06805835961143587
ret_term_ratio__ret_3__ret_10,0.03266926778849307,0.18052076435008424,0.10005805756404312,0.007413882613307024,0.006368221154829585,0.0654060386941514
rv_5_rolling_z_24,0.11466999973673934,0.04880024379056217,0.02697950586931631,0.046654289854623755,0.08912467809549776,0.06524574346934786
range_pos_3_mean_gap_6,0.1197539708364597,0.08469370058270878,0.04724817414820715,0.026907252305781247,0.04521099507682124,0.06476281858999562
taker_sell_ratio,0.0,0.0,0.1182441523182558,0.0,0.20196743490828659,0.06404231744530849
rv_term_ratio__rv_3__rv_10,0.10287907888170934,0.08962301598834439,0.0,0.021874804468446026,0.10411363784639084,0.06369810743697812
prev_bar_log_trade_count_lag2,0.04200566684494458,0.10270257278297676,0.03626366788912744,0.03636677856353968,0.09987955298761973,0.06344364781364163
context_relative_volume_product__clv_1__relative_volume_20,0.24160798053238278,0.02621438764310866,0.013255832028181447,0.0089964154432737,0.02604721965470829,0.06322436706033097
