feature,importance_q70,importance_q80,importance_q90,importance_mean
ret_10_mean_gap_12,0.019364477184416657,0.03786932411876922,0.03675765699462111,0.031330486099268993
ret_term_spread__ret_5__ret_15,0.04658213048584203,0.016192739624756234,0.030967387325857607,0.03124741914548529
volume_share_term_ratio__volume_share_3__volume_share_10,0.01910376477930323,0.046613604388726235,0.027667156351989203,0.031128175173339555
ret_term_spread__ret_1__ret_10,0.008549287969786185,0.04515696555136793,0.03923040098281743,0.03097888483465718
relative_volume_20_lag1,0.029362171245875153,0.038769161259474647,0.02479163262137481,0.030974321708908206
relative_volume_20_rolling_z_6,0.04547852460041456,0.02874224438306408,0.018005603435386663,0.030742124139621768
rv_30_mean_gap_6,0.013695412299495427,0.015689142970530316,0.06271829372655097,0.03070094966552557
efficiency_term_ratio__efficiency_3__efficiency_10,0.06750226286071899,0.013943331979103399,0.010582303217415366,0.03067596601907925
ret_3_rolling_z_24,0.025799871035437415,0.06611513208739062,0.0,0.030638334374276013
relative_volume_20_lag6,0.07947754946923019,0.00592246293132534,0.006234247195516256,0.030544753198690596
volume_z_20,0.02450720898919119,0.010828888254193326,0.05601722145610775,0.030451106233164087
prev_bar_taker_net_volume,0.0,0.03647185704717794,0.05479894327645415,0.03042360010787736
context_ret_product__wick_pressure_1__ret_15,0.03581256441295763,0.018427252048637995,0.036632022625902025,0.030290613029165886
rv_30_delta_6,0.0,0.04810443296740835,0.04244388844694909,0.030182773804785814
wick_pressure_1_delta_3,0.04776253417406964,0.015452265642215352,0.027328635484512438,0.030181145100265813
volume_share_term_spread__volume_share_3__volume_share_10,0.016173502344103603,0.02454249429666104,0.04971506354643629,0.030143686729066976
ret_3_mean_gap_24,0.03406484970836517,0.015359073141343927,0.04086970372757161,0.030097875525760237
efficiency_3_mean_gap_12,0.02949366322870935,0.03913114982578897,0.021386706204770393,0.030003839753089567
volume_z_term_spread__volume_z_5__volume_z_10,0.03980782472143518,0.03135540063906463,0.01878997726283418,0.029984400874444667
rv_10_lag1,0.023376430584945943,0.029884471487053383,0.036326488700092044,0.029862463590697122
volume_z_3_delta_6,0.024559618218336913,0.0315058184149873,0.03349702659121782,0.029854154408180678
rv_5_mean_gap_12,0.013080496476074047,0.04632614456584614,0.03004980005672973,0.029818813699549973
