t_up,t_down,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss
0.56,0.465,8220.0,0.22335766423357664,0.5656836461126006,0.5645933014354066,0.5651384737740036,0.5232360097323601,0.5648148148148148,0.20315904139433552,0.7968409586056645,0.56,0.465,1836.0,373.0,1463.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.56,0.47,8220.0,0.26240875912408756,0.5656836461126006,0.5538116591928252,0.5597476526527129,0.5232360097323601,0.5558646267964766,0.17292535929531758,0.8270746407046824,0.56,0.47,2157.0,373.0,1784.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.56,0.475,8220.0,0.3037712895377129,0.5656836461126006,0.544256120527307,0.5549698833199538,0.5232360097323601,0.5474569483380056,0.14937925510612735,0.8506207448938726,0.56,0.475,2497.0,373.0,2124.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.56,0.48,8220.0,0.35170316301703164,0.5656836461126006,0.5405083399523432,0.5530959930324719,0.5232360097323601,0.5437564856451055,0.1290210999654099,0.8709789000345901,0.56,0.48,2891.0,373.0,2518.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.56,0.485,8220.0,0.40559610705596105,0.5656836461126006,0.5325903411009794,0.54913699360679,0.5232360097323601,0.5362927414517097,0.11187762447510498,0.888122375524895,0.56,0.485,3334.0,373.0,2961.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.56,0.49,8220.0,0.4586374695863747,0.5656836461126006,0.5257580217839269,0.5457208339482638,0.5232360097323601,0.5297082228116711,0.09893899204244032,0.9010610079575597,0.56,0.49,3770.0,373.0,3397.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.56,0.495,8220.0,0.5119221411192214,0.5656836461126006,0.5241199478487614,0.544901796980681,0.5232360097323601,0.5278041825095057,0.08864068441064639,0.9113593155893536,0.56,0.495,4208.0,373.0,3835.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.56,0.5,8220.0,0.5689781021897811,0.5656836461126006,0.5234665427509294,0.544575094431765,0.5232360097323601,0.5268334402394698,0.07975197776352362,0.9202480222364764,0.56,0.5,4677.0,373.0,4304.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.565,0.4,8220.0,0.03381995133819951,0.5367647058823529,0.5,0.5183823529411764,0.5232360097323601,0.5359712230215827,0.9784172661870504,0.02158273381294964,0.565,0.4,278.0,272.0,6.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.565,0.405,8220.0,0.035036496350364967,0.5367647058823529,0.375,0.45588235294117646,0.5232360097323601,0.5277777777777778,0.9444444444444444,0.05555555555555555,0.565,0.405,288.0,272.0,16.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
